"","iter_mean_w","V1"
"1",0,8
"2",0,21
"3",0,5
"4",0,12
"5",0,2
"6",0,4
"7",0,9
"8",0,8
"9",0,5
"10",0,6
"11",0,0
"12",0,5
"13",0,8
"14",0,26
"15",0,6
"16",0,3
"17",0,4
"18",0,6
"19",0,5
"20",0,1
"21",0,0
"22",0,26
"23",0,5
"24",0,5
"25",0,3
"26",0,9
"27",0,7
"28",0,6
"29",0,24
"30",0,4
"31",0,3
"32",0,2
"33",0,5
"34",0,6
"35",0,2
"36",0,7
"37",0,2
"38",0,1
"39",0,6
"40",0,4
"41",0,7
"42",0,1
"43",0,2
"44",0,0
"45",0,4
"46",0,10
"47",0,19
"48",0,2
"49",0,9
"50",0,7
"51",0,4
"52",0,4
"53",0,7
"54",0,7
"55",0,6
"56",0,26
"57",0,0
"58",0,13
"59",0,19
"60",0,6
"61",0,4
"62",0,10
"63",0,8
"64",0,10
"65",0,0
"66",0,9
"67",0,4
"68",0,6
"69",0,6
"70",0,6
"71",0,27
"72",0,9
"73",0,2
"74",0,4
"75",0,0
"76",0,6
"77",0,20
"78",0,5
"79",0,0
"80",0,8
"81",0,9
"82",0,7
"83",0,5
"84",0,11
"85",0,4
"86",0,8
"87",0,8
"88",0,8
"89",0,13
"90",0,2
"91",0,4
"92",0,3
"93",0,9
"94",0,5
"95",0,27
"96",0,1
"97",0,5
"98",0,0
"99",0,20
"100",0,7
"101",0,8
"102",0,0
"103",0,3
"104",0,3
"105",0,3
"106",0,24
"107",0,0
"108",0,8
"109",0,0
"110",0,2
"111",0,6
"112",0,8
"113",0,2
"114",0,21
"115",0,7
"116",0,6
"117",0,10
"118",0,4
"119",0,1
"120",0,3
"121",0,28
"122",0,2
"123",0,4
"124",0,3
"125",0,7
"126",0,19
"127",0,0
"128",0,0
"129",0,0
"130",0,1
"131",0,10
"132",0,8
"133",0,3
"134",0,3
"135",0,0
"136",0,3
"137",0,5
"138",0,25
"139",0,9
"140",0,13
"141",0,6
"142",0,5
"143",0,7
"144",0,4
"145",0,6
"146",0,0
"147",0,6
"148",0,0
"149",0,0
"150",0,0
"151",0,2
"152",0,6
"153",0,7
"154",0,7
"155",0,7
"156",0,0
"157",0,5
"158",0,4
"159",0,6
"160",0,5
"161",0,4
"162",0,3
"163",0,7
"164",0,5
"165",0,5
"166",0,6
"167",0,3
"168",0,6
"169",0,5
"170",0,7
"171",0,6
"172",0,5
"173",0,3
"174",0,0
"175",0,0
"176",0,2
"177",0,2
"178",0,3
"179",0,6
"180",0,3
"181",0,21
"182",0,5
"183",0,20
"184",0,4
"185",0,4
"186",0,22
"187",0,5
"188",0,7
"189",0,3
"190",0,3
"191",0,2
"192",0,8
"193",0,1
"194",0,3
"195",0,0
"196",0,5
"197",0,7
"198",0,11
"199",0,4
"200",0,3
