"","iter_mean_w","V1","V1","V1","V1"
"1",0,8,6,14,8
"2",0,32,30,5,50
"3",0,4,7,12,5
"4",0,12,15,14,11
"5",0,7,5,5,7
"6",0,2,2,16,2
"7",0,21,23,19,40
"8",0,18,20,20,40
"9",0,29,31,9,50
"10",0,3,6,10,3
"11",0,0,0,0,0
"12",0,8,6,6,7
"13",0,33,33,50,50
"14",0,28,31,16,50
"15",0,3,7,14,3
"16",0,31,30,7,50
"17",0,3,4,13,3
"18",0,3,4,21,4
"19",0,4,4,10,4
"20",0,2,2,15,2
"21",0,0,0,0,0
"22",0,31,32,22,50
"23",0,4,5,21,3
"24",0,4,6,17,4
"25",0,9,2,9,9
"26",0,10,11,21,10
"27",0,24,27,14,50
"28",0,6,4,18,6
"29",0,31,31,50,50
"30",0,7,3,18,10
"31",0,32,33,50,50
"32",0,10,7,7,6
"33",0,27,29,6,50
"34",0,29,31,18,50
"35",0,12,4,18,12
"36",0,13,8,13,10
"37",0,32,32,50,50
"38",0,2,2,17,2
"39",0,13,11,29,14
"40",0,3,3,16,3
"41",0,6,18,6,6
"42",0,2,2,6,2
"43",0,3,5,13,3
"44",0,0,0,0,0
"45",0,6,5,14,6
"46",0,21,23,5,40
"47",0,23,24,8,50
"48",0,27,25,6,44
"49",0,7,15,12,7
"50",0,3,6,7,2
"51",0,25,29,15,50
"52",0,4,3,13,3
"53",0,11,19,11,11
"54",0,8,8,15,15
"55",0,9,26,13,10
"56",0,30,31,35,50
"57",0,0,0,0,0
"58",0,24,26,7,50
"59",0,30,31,38,50
"60",0,29,27,7,50
"61",0,3,6,11,3
"62",0,25,30,18,50
"63",0,5,10,11,5
"64",0,22,27,14,43
"65",0,0,0,0,0
"66",0,8,8,6,8
"67",0,4,4,17,4
"68",0,29,30,18,50
"69",0,4,3,13,4
"70",0,27,27,3,50
"71",0,31,30,9,50
"72",0,30,29,16,50
"73",0,6,4,18,4
"74",0,7,4,12,6
"75",0,0,0,0,0
"76",0,11,14,21,11
"77",0,23,25,6,50
"78",0,12,14,11,12
"79",0,0,0,0,0
"80",0,13,5,5,12
"81",0,11,20,17,10
"82",0,21,9,20,4
"83",0,22,23,31,24
"84",0,25,26,6,50
"85",0,4,1,14,4
"86",0,30,30,13,50
"87",0,2,7,14,2
"88",0,25,30,17,50
"89",0,4,11,19,4
"90",0,23,25,22,50
"91",0,11,22,13,11
"92",0,11,5,18,11
"93",0,24,24,6,50
"94",0,7,17,15,7
"95",0,29,30,7,50
"96",0,3,3,18,3
"97",0,2,4,17,2
"98",0,0,0,0,0
"99",0,25,25,13,50
"100",0,23,24,15,50
"101",0,24,9,6,39
"102",0,0,0,0,0
"103",0,5,4,14,4
"104",0,5,4,13,4
"105",0,24,25,17,50
"106",0,26,27,16,50
"107",0,0,0,0,0
"108",0,11,20,19,10
"109",0,0,0,0,0
"110",0,10,2,9,11
"111",0,27,28,9,50
"112",0,22,23,6,45
"113",0,11,2,11,2
"114",0,27,27,49,50
"115",0,27,31,5,50
"116",0,33,34,50,50
"117",0,25,31,7,45
"118",0,22,8,7,47
"119",0,3,2,16,2
"120",0,4,4,18,4
"121",0,32,32,8,50
"122",0,4,6,6,4
"123",0,6,4,16,5
"124",0,28,29,18,50
"125",0,9,5,13,9
"126",0,23,21,6,50
"127",0,0,0,0,0
"128",0,0,0,0,0
"129",0,0,0,0,0
"130",0,3,1,21,3
"131",0,7,10,21,7
"132",0,9,7,5,12
"133",0,11,3,19,7
"134",0,4,1,10,3
"135",0,0,0,0,0
"136",0,30,29,50,50
"137",0,4,7,13,4
"138",0,30,29,16,50
"139",0,24,24,19,50
"140",0,22,24,8,46
"141",0,26,30,21,50
"142",0,7,1,7,7
"143",0,25,25,13,50
"144",0,9,6,14,8
"145",0,6,4,16,2
"146",0,0,0,0,0
"147",0,5,2,13,5
"148",0,0,0,0,0
"149",0,0,0,0,0
"150",0,0,0,0,0
"151",0,2,3,17,2
"152",0,21,23,19,47
"153",0,7,6,14,7
"154",0,29,30,6,50
"155",0,3,6,13,3
"156",0,0,0,0,0
"157",0,7,7,17,9
"158",0,3,4,8,3
"159",0,19,22,5,40
"160",0,23,24,13,50
"161",0,5,4,20,4
"162",0,3,5,15,3
"163",0,14,19,19,50
"164",0,10,7,16,10
"165",0,4,4,15,2
"166",0,34,31,11,50
"167",0,8,3,14,5
"168",0,34,31,7,50
"169",0,20,22,7,36
"170",0,27,26,16,46
"171",0,6,8,9,6
"172",0,8,3,10,3
"173",0,27,33,18,50
"174",0,0,0,0,0
"175",0,0,0,0,0
"176",0,2,2,17,3
"177",0,11,3,21,4
"178",0,7,7,12,6
"179",0,24,25,20,50
"180",0,7,3,7,3
"181",0,31,32,30,50
"182",0,4,6,12,4
"183",0,30,29,31,50
"184",0,1,4,17,1
"185",0,11,19,12,10
"186",0,29,29,47,50
"187",0,3,6,14,2
"188",0,10,8,17,10
"189",0,2,3,16,2
"190",0,3,4,13,3
"191",0,28,28,15,50
"192",0,24,9,14,43
"193",0,7,2,16,2
"194",0,21,24,19,41
"195",0,0,0,0,0
"196",0,3,4,16,2
"197",0,12,12,17,12
"198",0,26,11,11,44
"199",0,24,23,14,38
"200",0,2,2,14,2
