"","iter_mean_w","V1"
"1",0,25
"2",0,16
"3",0,16
"4",0,18
"5",0,18
"6",0,15
"7",0,10
"8",0,3
"9",0,8
"10",0,16
"11",0,6
"12",0,15
"13",0,22
"14",0,13
"15",0,6
"16",0,6
"17",0,11
"18",0,17
"19",0,8
"20",0,40
"21",0,16
"22",0,5
"23",0,14
"24",0,13
"25",0,17
"26",0,38
"27",0,35
"28",0,36
"29",0,24
"30",0,6
"31",0,26
"32",0,22
"33",0,36
"34",0,6
"35",0,11
"36",0,17
"37",0,6
"38",0,32
"39",0,22
"40",0,5
"41",0,28
"42",0,21
"43",0,26
"44",0,8
"45",0,5
"46",0,14
"47",0,14
"48",0,11
"49",0,20
"50",0,2
"51",0,24
"52",0,18
"53",0,17
"54",0,25
"55",0,2
"56",0,15
"57",0,9
"58",0,31
"59",0,17
"60",0,23
"61",0,26
"62",0,35
"63",0,5
"64",0,15
"65",0,29
"66",0,2
"67",0,5
"68",0,30
"69",0,12
"70",0,17
"71",0,21
"72",0,13
"73",0,11
"74",0,34
"75",0,14
"76",0,10
"77",0,32
"78",0,21
"79",0,15
"80",0,7
"81",0,2
"82",0,6
"83",0,23
"84",0,24
"85",0,2
"86",0,30
"87",0,32
"88",0,31
"89",0,16
"90",0,23
"91",0,31
"92",0,25
"93",0,30
"94",0,1
"95",0,12
"96",0,13
"97",0,10
"98",0,5
"99",0,32
"100",0,8
"101",0,17
"102",0,13
"103",0,9
"104",0,6
"105",0,10
"106",0,7
"107",0,40
"108",0,4
"109",0,16
"110",0,24
"111",0,16
"112",0,11
"113",0,18
"114",0,17
"115",0,19
"116",0,30
"117",0,16
"118",0,6
"119",0,16
"120",0,16
"121",0,12
"122",0,18
"123",0,9
"124",0,5
"125",0,35
"126",0,1
"127",0,33
"128",0,34
"129",0,29
"130",0,34
"131",0,11
"132",0,21
"133",0,18
"134",0,20
"135",0,6
"136",0,8
"137",0,31
"138",0,9
"139",0,24
"140",0,23
"141",0,5
"142",0,21
"143",0,2
"144",0,21
"145",0,20
"146",0,14
"147",0,12
"148",0,7
"149",0,24
"150",0,21
"151",0,22
"152",0,11
"153",0,5
"154",0,20
"155",0,13
"156",0,10
"157",0,11
"158",0,11
"159",0,23
"160",0,18
"161",0,22
"162",0,9
"163",0,32
"164",0,20
"165",0,21
"166",0,25
"167",0,13
"168",0,19
"169",0,30
"170",0,31
"171",0,12
"172",0,9
"173",0,27
"174",0,8
"175",0,8
"176",0,16
"177",0,13
"178",0,14
"179",0,3
"180",0,25
"181",0,5
"182",0,18
"183",0,9
"184",0,13
"185",0,17
"186",0,25
"187",0,22
"188",0,12
"189",0,10
"190",0,6
"191",0,14
"192",0,8
"193",0,13
"194",0,7
"195",0,18
"196",0,4
"197",0,36
"198",0,9
"199",0,6
"200",0,19
