"","iter_mean_w","V1","V1"
"1",0,6,7
"2",0,18,10
"3",0,3,1
"4",0,1,3
"5",0,6,3
"6",0,6,4
"7",0,6,12
"8",0,19,11
"9",0,18,9
"10",0,1,4
"11",0,3,10
"12",0,10,19
"13",0,6,8
"14",0,3,8
"15",0,2,2
"16",0,11,13
"17",0,13,14
"18",0,1,12
"19",0,18,12
"20",0,11,13
"21",0,2,1
"22",0,4,10
"23",0,15,9
"24",0,16,5
"25",0,10,14
"26",0,6,10
"27",0,12,21
"28",0,30,21
"29",0,18,5
"30",0,6,2
"31",0,15,15
"32",0,21,9
"33",0,6,1
"34",0,16,17
"35",0,9,5
"36",0,11,9
"37",0,18,3
"38",0,1,2
"39",0,14,7
"40",0,13,6
"41",0,1,6
"42",0,4,3
"43",0,14,3
"44",0,1,2
"45",0,10,1
"46",0,10,5
"47",0,9,7
"48",0,27,7
"49",0,4,2
"50",0,17,9
"51",0,13,3
"52",0,2,11
"53",0,5,7
"54",0,2,2
"55",0,16,8
"56",0,1,1
"57",0,11,6
"58",0,9,2
"59",0,10,6
"60",0,3,9
"61",0,6,5
"62",0,30,14
"63",0,9,5
"64",0,17,3
"65",0,3,3
"66",0,7,7
"67",0,22,12
"68",0,21,5
"69",0,12,11
"70",0,1,1
"71",0,8,6
"72",0,11,2
"73",0,8,2
"74",0,3,3
"75",0,12,8
"76",0,4,1
"77",0,32,18
"78",0,4,7
"79",0,10,6
"80",0,2,2
"81",0,18,2
"82",0,28,8
"83",0,9,10
"84",0,21,36
"85",0,13,11
"86",0,9,2
"87",0,19,20
"88",0,12,10
"89",0,14,5
"90",0,5,3
"91",0,12,13
"92",0,4,4
"93",0,6,4
"94",0,30,18
"95",0,3,4
"96",0,4,4
"97",0,12,4
"98",0,1,7
"99",0,4,12
"100",0,25,3
"101",0,8,8
"102",0,3,8
"103",0,8,3
"104",0,9,12
"105",0,4,2
"106",0,19,6
"107",0,3,8
"108",0,10,1
"109",0,11,15
"110",0,26,22
"111",0,12,4
"112",0,17,10
"113",0,5,2
"114",0,11,4
"115",0,5,2
"116",0,1,3
"117",0,17,28
"118",0,1,5
"119",0,5,12
"120",0,12,4
"121",0,4,9
"122",0,22,11
"123",0,6,2
"124",0,1,3
"125",0,8,3
"126",0,5,11
"127",0,3,5
"128",0,3,8
"129",0,18,4
"130",0,8,6
"131",0,4,13
"132",0,16,5
"133",0,6,4
"134",0,2,1
"135",0,14,6
"136",0,7,2
"137",0,5,8
"138",0,4,4
"139",0,1,1
"140",0,3,5
"141",0,24,5
"142",0,4,6
"143",0,4,5
"144",0,2,9
"145",0,16,8
"146",0,1,6
"147",0,11,4
"148",0,5,11
"149",0,10,4
"150",0,10,3
"151",0,2,14
"152",0,15,3
"153",0,3,2
"154",0,7,12
"155",0,23,18
"156",0,8,5
"157",0,10,9
"158",0,4,7
"159",0,4,7
"160",0,23,4
"161",0,2,9
"162",0,3,2
"163",0,1,1
"164",0,15,5
"165",0,20,13
"166",0,27,16
"167",0,14,3
"168",0,17,8
"169",0,6,4
"170",0,7,10
"171",0,4,17
"172",0,12,4
"173",0,20,2
"174",0,9,12
"175",0,7,17
"176",0,5,4
"177",0,11,4
"178",0,5,3
"179",0,3,6
"180",0,9,3
"181",0,3,9
"182",0,5,3
"183",0,16,11
"184",0,3,12
"185",0,27,15
"186",0,4,10
"187",0,8,6
"188",0,27,6
"189",0,8,6
"190",0,20,10
"191",0,4,5
"192",0,6,8
"193",0,5,17
"194",0,13,9
"195",0,3,4
"196",0,16,23
"197",0,13,5
"198",0,10,9
"199",0,11,20
"200",0,3,5
