"","V1"
"1",0.00777228840966238
"2",-0.156342226128884
"3",-0.0673853428690783
"4",-1.02942453147799
"5",1.39345734051826
"6",-0.433778846874098
"7",-0.21710533863667
"8",-0.21710533863667
"9",1.0227982249126
"10",0.495039887811102
"11",-0.132510003837136
"12",0.785716985764592
"13",-0.235771908174671
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
