"","iter_mean_w","V1","V1"
"1",0,8,1
"2",0,22,29
"3",0,44,4
"4",0,36,12
"5",0,6,5
"6",0,14,3
"7",0,11,1
"8",0,70,51
"9",0,27,30
"10",0,57,4
"11",0,7,19
"12",0,43,1
"13",0,10,4
"14",0,20,2
"15",0,20,3
"16",0,71,14
"17",0,10,1
"18",0,29,11
"19",0,97,1
"20",0,55,2
"21",0,3,17
"22",0,60,8
"23",0,23,8
"24",0,7,19
"25",0,10,1
"26",0,13,6
"27",0,14,10
"28",0,2,3
"29",0,25,10
"30",0,55,9
"31",0,23,3
"32",0,35,18
"33",0,10,33
"34",0,78,2
"35",0,2,33
"36",0,42,18
"37",0,100,13
"38",0,16,35
"39",0,2,6
"40",0,29,14
"41",0,36,14
"42",0,34,20
"43",0,13,8
"44",0,53,13
"45",0,89,12
"46",0,18,1
"47",0,21,3
"48",0,65,9
"49",0,15,1
"50",0,70,11
"51",0,4,5
"52",0,100,4
"53",0,54,3
"54",0,7,27
"55",0,27,4
"56",0,23,5
"57",0,2,18
"58",0,18,5
"59",0,17,75
"60",0,63,29
"61",0,14,12
"62",0,71,8
"63",0,23,10
"64",0,8,47
"65",0,14,4
"66",0,19,10
"67",0,47,40
"68",0,1,1
"69",0,30,37
"70",0,10,11
"71",0,58,13
"72",0,7,7
"73",0,38,2
"74",0,85,33
"75",0,3,3
"76",0,17,15
"77",0,45,40
"78",0,12,28
"79",0,16,7
"80",0,40,3
"81",0,11,1
"82",0,4,6
"83",0,18,49
"84",0,43,13
"85",0,71,6
"86",0,8,7
"87",0,38,15
"88",0,11,26
"89",0,73,20
"90",0,2,27
"91",0,31,11
"92",0,24,1
"93",0,1,41
"94",0,21,20
"95",0,3,28
"96",0,3,4
"97",0,44,54
"98",0,65,19
"99",0,100,8
"100",0,6,1
